publication_year,Contextual_or_indirect,Core_direct,Peripheral_screening_candidate,total,core_share
1982,1,0,0,1,0.0
1983,1,0,0,1,0.0
1985,0,0,1,1,0.0
1986,0,1,0,1,1.0
1987,1,1,0,2,0.5
1988,1,1,0,2,0.5
1989,5,1,0,6,0.16666666666666666
1990,2,3,0,5,0.6
1991,4,9,0,13,0.6923076923076923
1992,2,10,1,13,0.7692307692307693
1993,4,7,3,14,0.5
1994,1,5,3,9,0.5555555555555556
1995,3,5,3,11,0.45454545454545453
1996,6,8,2,16,0.5
1997,1,12,7,20,0.6
1998,3,19,5,27,0.7037037037037037
1999,9,11,7,27,0.4074074074074074
2000,4,15,8,27,0.5555555555555556
2001,10,18,4,32,0.5625
2002,10,10,16,36,0.2777777777777778
2003,11,34,10,55,0.6181818181818182
2004,12,33,13,58,0.5689655172413793
2005,19,41,12,72,0.5694444444444444
2006,18,50,18,86,0.5813953488372093
2007,21,65,25,111,0.5855855855855856
2008,22,83,17,122,0.680327868852459
2009,25,94,31,150,0.6266666666666667
2010,39,106,44,189,0.5608465608465608
2011,36,162,59,257,0.6303501945525292
2012,38,149,59,246,0.6056910569105691
2013,54,190,85,329,0.5775075987841946
2014,71,196,69,336,0.5833333333333334
2015,80,250,86,416,0.6009615384615384
2016,89,261,113,463,0.5637149028077754
2017,82,254,110,446,0.5695067264573991
2018,111,299,126,536,0.5578358208955224
2019,113,312,138,563,0.5541740674955595
2020,156,459,154,769,0.5968790637191157
2021,180,640,180,1000,0.64
2022,208,777,172,1157,0.6715643906655142
2023,200,877,175,1252,0.700479233226837
2024,170,1027,172,1369,0.75018261504748
2025,207,1263,175,1645,0.7677811550151976
2026,145,851,112,1108,0.7680505415162455
