discipline,concept,record_n,group_n,prevalence,log2_prevalence_ratio
Atmospheric and climate,source_explicit,46,1567,0.029355456285896617,0.4648527980227683
Atmospheric and climate,natural_ignition,29,1567,0.018506700701978303,0.9599501594419488
Atmospheric and climate,human_ignition,29,1567,0.018506700701978303,0.3985744790384084
Atmospheric and climate,climate_attribution,23,1567,0.014677728142948309,0.9441089018118954
Atmospheric and climate,counterfactual,10,1567,0.006381620931716656,1.2196462798505203
Atmospheric and climate,fuel_legacy,84,1567,0.053605615826419914,-0.6778076765588631
Atmospheric and climate,suppression_control,79,1567,0.05041480536056158,-0.6301367357399136
Atmospheric and climate,burned_area,223,1567,0.14231014677728143,0.36637764377242565
Atmospheric and climate,fire_severity,91,1567,0.05807275047862157,-0.7234519467502508
Atmospheric and climate,emissions_carbon,355,1567,0.2265475430759413,0.6122438849414762
Atmospheric and climate,nonco2_biophysical,342,1567,0.21825143586470963,1.2140662825380326
Atmospheric and climate,radiative_temperature,186,1567,0.11869814932992981,1.5096686979236809
Atmospheric and climate,postfire_recovery,25,1567,0.01595405232929164,-0.9307743819780883
Atmospheric and climate,feedback_closure,32,1567,0.0204211869814933,1.5542407865740433
Atmospheric and climate,fire_weather,397,1567,0.25335035098915126,0.8272298762449305
Earth observation and geosciences,source_explicit,12,782,0.015345268542199489,-0.4286084764863709
Earth observation and geosciences,natural_ignition,3,782,0.0038363171355498722,-1.113496621038121
Earth observation and geosciences,human_ignition,11,782,0.014066496163682864,0.041334732557747535
Earth observation and geosciences,climate_attribution,5,782,0.00639386189258312,-0.14920698440427704
Earth observation and geosciences,counterfactual,0,782,0.0,-2.1708297961040723
Earth observation and geosciences,fuel_legacy,40,782,0.05115089514066496,-0.7369957631322552
Earth observation and geosciences,suppression_control,32,782,0.04092071611253197,-0.9188105311716467
Earth observation and geosciences,burned_area,92,782,0.11764705882352941,0.09546942992958737
Earth observation and geosciences,fire_severity,60,782,0.07672634271099744,-0.3184472009355313
Earth observation and geosciences,emissions_carbon,132,782,0.16879795396419436,0.19022803159679016
Earth observation and geosciences,nonco2_biophysical,120,782,0.1534526854219949,0.708836787744273
Earth observation and geosciences,radiative_temperature,65,782,0.08312020460358056,1.0019012260300606
Earth observation and geosciences,postfire_recovery,16,782,0.020460358056265986,-0.5569642577669629
Earth observation and geosciences,feedback_closure,7,782,0.008951406649616368,0.4406049159782748
Earth observation and geosciences,fire_weather,76,782,0.09718670076726342,-0.5483519844099677
Ecology and biology,source_explicit,51,3425,0.01489051094890511,-0.5154050778708353
Ecology and biology,natural_ignition,20,3425,0.00583941605839416,-0.6927404772705995
Ecology and biology,human_ignition,37,3425,0.010802919708029197,-0.38284947179634266
Ecology and biology,climate_attribution,19,3425,0.005547445255474452,-0.45267732297228425
Ecology and biology,counterfactual,7,3425,0.0020437956204379564,-0.3933801392885122
Ecology and biology,fuel_legacy,364,3425,0.10627737226277373,0.3034882995170989
Ecology and biology,suppression_control,261,3425,0.07620437956204379,-0.039952146746118265
Ecology and biology,burned_area,383,3425,0.11182481751824817,0.017729798123250394
Ecology and biology,fire_severity,394,3425,0.11503649635036496,0.2571301130103745
Ecology and biology,emissions_carbon,477,3425,0.13927007299270072,-0.0897045337236186
Ecology and biology,nonco2_biophysical,269,3425,0.07854014598540146,-0.25935202452614176
Ecology and biology,radiative_temperature,88,3425,0.025693430656934305,-0.6933571642173505
Ecology and biology,postfire_recovery,126,3425,0.03678832116788321,0.2521942587759355
Ecology and biology,feedback_closure,15,3425,0.004379562043795621,-0.6415303080363268
Ecology and biology,fire_weather,313,3425,0.09138686131386861,-0.642859133093539
