analysis_period,topic_id,record_n,period_total,share_within_period
1900-1989,1,2,10,0.2
1900-1989,2,6,10,0.6
1900-1989,3,1,10,0.1
1900-1989,14,1,10,0.1
1990-1999,0,6,120,0.05
1990-1999,1,19,120,0.15833333333333333
1990-1999,2,19,120,0.15833333333333333
1990-1999,3,12,120,0.1
1990-1999,4,14,120,0.11666666666666667
1990-1999,5,5,120,0.041666666666666664
1990-1999,6,3,120,0.025
1990-1999,7,4,120,0.03333333333333333
1990-1999,8,3,120,0.025
1990-1999,9,1,120,0.008333333333333333
1990-1999,10,6,120,0.05
1990-1999,13,15,120,0.125
1990-1999,14,12,120,0.1
1990-1999,15,1,120,0.008333333333333333
2000-2009,0,22,586,0.03754266211604096
2000-2009,1,55,586,0.09385665529010238
2000-2009,2,59,586,0.10068259385665529
2000-2009,3,77,586,0.13139931740614336
2000-2009,4,41,586,0.06996587030716724
2000-2009,5,46,586,0.07849829351535836
2000-2009,6,41,586,0.06996587030716724
2000-2009,7,24,586,0.040955631399317405
2000-2009,8,25,586,0.042662116040955635
2000-2009,9,12,586,0.020477815699658702
2000-2009,10,42,586,0.07167235494880546
2000-2009,11,12,586,0.020477815699658702
2000-2009,13,51,586,0.08703071672354949
2000-2009,14,71,586,0.12116040955631399
2000-2009,15,8,586,0.013651877133105802
2010-2019,0,124,2856,0.04341736694677871
2010-2019,1,331,2856,0.11589635854341737
2010-2019,2,185,2856,0.06477591036414566
2010-2019,3,222,2856,0.07773109243697479
2010-2019,4,185,2856,0.06477591036414566
2010-2019,5,124,2856,0.04341736694677871
2010-2019,6,290,2856,0.1015406162464986
2010-2019,7,131,2856,0.04586834733893557
2010-2019,8,174,2856,0.06092436974789916
2010-2019,9,82,2856,0.028711484593837534
2010-2019,10,283,2856,0.09908963585434173
2010-2019,11,129,2856,0.045168067226890755
2010-2019,12,21,2856,0.007352941176470588
2010-2019,13,255,2856,0.08928571428571429
2010-2019,14,224,2856,0.0784313725490196
2010-2019,15,96,2856,0.03361344537815126
2020-2025,0,186,5991,0.03104656985478217
2020-2025,1,440,5991,0.07344349858120514
2020-2025,2,266,5991,0.04439993323318311
2020-2025,3,229,5991,0.03822400267067268
2020-2025,4,300,5991,0.0500751126690035
2020-2025,5,219,5991,0.03655483224837256
2020-2025,6,1055,5991,0.17609747955266233
2020-2025,7,323,5991,0.05391420464029378
2020-2025,8,312,5991,0.05207811717576365
2020-2025,9,400,5991,0.06676681689200467
2020-2025,10,465,5991,0.07761642463695544
2020-2025,11,292,5991,0.048739776331163415
2020-2025,12,400,5991,0.06676681689200467
2020-2025,13,287,5991,0.04790519112001335
2020-2025,14,369,5991,0.06159238858287431
2020-2025,15,448,5991,0.07477883491904523
