record_id,publication_year,TI,relevance_tier,topic_id,topic_loading,lsa_x,lsa_y
WCC02444,2014,Abrupt increases in Amazonian tree mortality due to drought-fire interactions,Core_direct,9,0.08807857162879835,0.2082361285981305,-0.027685020162495216
WCC10891,2018,Pine vs. oaks revisited: Conversion of Madrean pine-oak forest to oak shrubland after high-severity wildfire in the Sky Islands of Arizona,Contextual_or_indirect,1,0.08985081540733222,0.17445376191601528,-0.09054987566644489
WCC07195,2021,"Spatio-temporal characterization of landscape fire in relation to anthropogenic activity and climatic variability over the Western Himalaya, India",Core_direct,14,0.07512425354690973,0.18940388419488915,-0.0417331896235246
WCC06268,2018,Contrasting drivers and trends of coniferous and deciduous tree growth in interior Alaska,Contextual_or_indirect,1,0.13144866255043997,0.1829186325224093,-0.12387763008228383
WCC02387,2015,Operational perspective of remote sensing-based forest fire danger forecasting systems,Contextual_or_indirect,2,0.06758620443521722,0.1739869825888714,0.05319613384627647
WCC11221,2016,Sediment-phosphorus dynamics can shift aquatic ecology and cause downstream legacy effects after wildfire in large river systems,Core_direct,8,0.046904540960938386,0.15021207644405626,-0.03719953074473483
WCC04802,2023,Impact of land use/land cover (LULC) changes on latent/sensible heat flux and precipitation over Turkiye,Core_direct,7,0.05468914733186679,0.1295628473509075,0.0030216825962929533
WCC04169,2023,Geostatistical Modeling of Wildfire Occurrence Probability: The Case Study of Monte Catillo Natural Reserve in Italy,Core_direct,6,0.05325034507029246,0.17639774713093867,0.08341062621518959
WCC02909,2012,Potential impacts of climate change on biogeochemical functioning of Cerrado ecosystems,Core_direct,8,0.05789739078976445,0.2106871827301315,-0.08721212137221791
WCC08155,2018,Global Modern Charcoal Dataset (GMCD): A tool for exploring proxy-fire linkages and spatial patterns of biomass burning,Contextual_or_indirect,3,0.0750316472286141,0.20180476045993254,-0.06665452724760149
WCC01257,2024,Exploring forest fire susceptibility and management strategies in Western Himalaya: Integrating ensemble machine learning and explainable AI for accurate prediction and comprehensive analysis,Contextual_or_indirect,12,0.1436089366871993,0.14162658457488278,0.0872061622492878
WCC01031,2021,Tree species flammability based on plant traits: A synthesis,Core_direct,10,0.0641969935367203,0.15655203284483454,-0.020886022217306153
WCC05503,2018,Soil carbon in Australian fire-prone forests determined by climate more than fire regimes,Core_direct,8,0.0701632024195932,0.2046304645196651,-0.10824342100931136
WCC12516,2021,Effects of plant hydraulic traits on the flammability of live fine canopy fuels,Contextual_or_indirect,2,0.059408158143613825,0.17363187921279596,-0.06330372799563322
WCC00202,2016,"Context-dependent evaluation of climate change policies: competing policies, knowledge and emotions",Core_direct,6,0.053229614464523275,0.0758211063735053,0.06770967355140077
WCC08745,2025,Insurance Under Fire: Assessing How California's Insurance Industry is Tackling the Wildfire Crisis and What's Next,Core_direct,6,0.06698022663141812,0.11879403203520698,0.09736456948131127
WCC06608,2017,Impact of wildfires on some greenhouse gases over continental USA: A study based on satellite data,Core_direct,4,0.06988744611443977,0.17417617352585515,0.03908868896699449
WCC06302,2025,Life cycle emissions associated with vault storage of wood cleared for fire management in the Western United States,Core_direct,4,0.08017290907076839,0.18697710584471366,-0.008316338666728706
WCC05212,2018,Upper range limit establishment after wildfire of an obligate-seeding montane forest tree fails to keep pace with 20th century warming,Core_direct,1,0.14101211041556821,0.15530697629815102,-0.0816787123681687
WCC01681,2025,Growing human-induced climate change fingerprint in regional weekly fire extremes,Core_direct,2,0.06281343058555229,0.1852110435967709,0.06202799730834914
WCC07421,2015,Towards Improved Airborne Fire Detection Systems Using Beetle Inspired Infrared Detection and Fire Searching Strategies,Core_direct,12,0.03670351695306441,0.11076328595089635,0.049574126502524234
WCC01452,2014,Recent trends in African fires driven by cropland expansion and El Nino to La Nina transition,Core_direct,14,0.09032303562854355,0.16239106045662946,-0.052904635366290614
WCC10673,2024,Cyclone-Fire Interactions Enhance Fire Extent and Severity in a Tropical Montane Pine Forest,Core_direct,1,0.08030504408054309,0.13995753248816342,-0.07949334648540493
WCC09871,2022,Wildfire contribution to streamflow variability across Australian temperate zone,Contextual_or_indirect,14,0.049317347509644484,0.18776649861292624,-0.04825953042441132
WCC01071,2025,Statistically scrutinizing impact of climate variability on forest fire incidents in Turkey,Core_direct,14,0.04047266801760884,0.11732154355814448,0.027315435127332473
WCC02177,2012,Fire weather risk differs across rain forestusavanna boundaries in the humid tropics of north-eastern Australia,Contextual_or_indirect,2,0.06706673119192809,0.14748152765703618,-0.03368369185648238
WCC08504,2016,European Impacts on Coastal Eastern Tasmania: Insight from a High-Resolution Palynological Analysis of a Salt-Marsh Core,Core_direct,3,0.07003896049410827,0.16145667650182483,-0.05513999257031108
WCC06272,2025,Fire Is Associated With Positive Shifts in Bumble Bee (Bombus vosnesenskii) Body Size and Bee Abundance in the Southern Sierra Nevada Mountains,Core_direct,11,0.05433035340685505,0.13829439838200636,-0.0371150365057394
WCC02081,2022,High-resolution fire danger forecast for Poland based on the Weather Research and Forecasting Model,Core_direct,2,0.15228453014940216,0.13544356526302953,0.05872952673884867
WCC06406,1999,Stochastic representation of fire behavior in a wildland fire protection planning model for California,Contextual_or_indirect,2,0.048422527722674386,0.10679529567242771,0.029767484053393845
WCC00621,2023,Impact of Global Climate Change on Pulmonary Health: Susceptible and Vulnerable Populations,Core_direct,15,0.11698866323891595,0.1816479630995673,0.19514244080900245
WCC01003,2021,Adapting western North American forests to climate change and wildfires: 10 common questions,Core_direct,0,0.1214518509804059,0.1965567573998412,0.0399348298127858
WCC06724,2020,Seeds of Success: A conservation and restoration investment in the future ofUSlands,Core_direct,10,0.08647246288693845,0.14703402756352596,-0.011683078285447006
WCC00203,2014,Large wildland fires and extreme temperatures in Sardinia (Italy),Core_direct,9,0.08897781541817117,0.18943927363023755,0.06135079184754817
WCC02248,1991,CLIMATE CHANGE AND WILDFIRE IN CANADA,Core_direct,2,0.04261686066942788,0.13140821326780874,-0.025742373223191048
WCC04739,2015,"Topography, Fuels, and Fire Exclusion Drive Fire Severity of the Rim Fire in an Old-Growth Mixed-Conifer Forest, Yosemite National Park, USA",Core_direct,11,0.12954892314665242,0.1787891436599666,-0.10810026329565126
WCC07847,2025,"Aerosol Distribution Due to Wildfire in Sumatra, Indonesia Considered from Model Simulation",Core_direct,5,0.09655142111091099,0.13743717588784282,0.004907209975420393
WCC05195,2022,Long-term health effects of wildfire exposure: A scoping review,Core_direct,15,0.11323331570706333,0.13805529788148072,0.20673599633358103
WCC03129,2011,Firm relocation as adaptive response to climate change and weather extremes,Core_direct,6,0.07246863601887131,0.1716362116407965,0.13635535563922352
WCC07465,2021,Twitter content analysis of the Australian bushfires disaster 2019-2020: futures implications,Core_direct,6,0.06993936075517188,0.09273600528730336,0.10568901090176405
WCC01197,2025,The Spatial Distribution and Temporal Drivers of Changing Global Fire Regimes: A Coupled Socio-Ecological Modeling Approach,Core_direct,13,0.04675076755904908,0.17545565718307293,-0.002923693854760473
WCC04070,1994,"THE GREENHOUSE-GAS METHANE (CH4) - SOURCES AND SINKS, THE IMPACT OF POPULATION-GROWTH, POSSIBLE INTERVENTIONS",Core_direct,4,0.0786364685155291,0.1391867646396459,-0.00020952067030536106
WCC09676,2019,"Firing up: Policy, politics and polemics under new and old burning regimes",Core_direct,6,0.07794217997478838,0.15703547300307166,0.07064427751491795
WCC12756,2025,A novel framework for fire risk assessment in Kazakhstan: integrating machine learning and remote sensing,Contextual_or_indirect,2,0.08093801315172923,0.22069520170713341,0.08386509435350326
WCC03502,2019,Assessment of temperature and rainfall changes in the Karoun River basin,Core_direct,14,0.06001649446680125,0.16136903299480748,0.012925957969073155
WCC00756,2006,Increase in carbon emissions from forest fires after intensive reforestation and forest management programs,Core_direct,4,0.09486899989598244,0.16612259783442784,-0.02140107223840061
WCC12746,2024,Resource objective wildfire leveraged to restore old growth forest structure while stabilizing carbon stocks in the southwestern United States,Contextual_or_indirect,1,0.07240490454122898,0.18300310405710715,-0.03777367058345998
WCC10494,2012,"First results on early post-fire succession in an Abies cephalonica forest (Parnitha National Park, Greece)",Core_direct,1,0.11333463000121101,0.16043899035072362,-0.06940485535283114
WCC03253,2024,The political ecology of wildfire: Media and the politics of blame in the Evros wildfires in Greece,Core_direct,6,0.04620665586466893,0.07141779820890039,0.05740225359694583
WCC07405,2020,More Trees Are Dying Due to Drought and Wildfire but Do Not Lose Sight of Forest Pathogens,Core_direct,1,0.030261519819902914,0.11359264378474766,0.01923439353714375
WCC03825,2020,"Pyrogenic Carbon Increases Pitch Pine Seedling Growth, Soil Moisture Retention, and Photosynthetic Intrinsic Water Use Efficiency in the Field",Core_direct,1,0.06667260642816293,0.15627778078324267,-0.08038830338313202
WCC10825,2025,Are the alternative ecosystem states produced by positive fire-flammability feedbacks reversible?,Core_direct,0,0.053914732754807654,0.19422709623502404,-0.03157270212342477
WCC07749,2017,Fire has been an important driver of forest dynamics in the Carpathian Mountains during the Holocene,Core_direct,3,0.09393304779761018,0.2195977163181002,-0.12102894829750498
