,source_explicit,natural_ignition,human_ignition,climate_attribution,counterfactual,fuel_legacy,suppression_control,burned_area,fire_severity,emissions_carbon,nonco2_biophysical,radiative_temperature,postfire_recovery,feedback_closure,fire_weather
source_explicit,1.0,0.3813953488372093,0.33203125,0.007220216606498195,0.004329004329004329,0.027972027972027972,0.02798708288482239,0.04991680532445923,0.017163504968383016,0.016917293233082706,0.0091324200913242,0.006666666666666667,0.010080645161290322,0.0,0.05013368983957219
natural_ignition,0.3813953488372093,1.0,0.10679611650485436,0.0,0.0,0.009922822491730982,0.01201923076923077,0.024977698483496878,0.008964143426294821,0.005996002664890073,0.004048582995951417,0.0,0.002583979328165375,0.0,0.02893436838390967
human_ignition,0.33203125,0.10679611650485436,1.0,0.029411764705882353,0.0,0.018027571580063628,0.024277456647398842,0.02756244616709733,0.006666666666666667,0.01171875,0.007782101167315175,0.009433962264150943,0.006993006993006993,0.0049504950495049506,0.026657552973342446
climate_attribution,0.007220216606498195,0.0,0.029411764705882353,1.0,0.030612244897959183,0.006726457399103139,0.011042944785276074,0.011627906976744186,0.005050505050505051,0.004037685060565276,0.003089598352214212,0.0,0.0136986301369863,0.0,0.016231474947071278
counterfactual,0.004329004329004329,0.0,0.0,0.030612244897959183,1.0,0.008293838862559242,0.007782101167315175,0.0055658627087198514,0.0,0.004867872044506259,0.003246753246753247,0.002352941176470588,0.0,0.0,0.0028797696184305254
fuel_legacy,0.027972027972027972,0.009922822491730982,0.018027571580063628,0.006726457399103139,0.008293838862559242,1.0,0.1430646332607117,0.07301768397033656,0.10793650793650794,0.057547169811320756,0.023752969121140142,0.013256006628003313,0.020966271649954422,0.0011235955056179776,0.1027190332326284
suppression_control,0.02798708288482239,0.01201923076923077,0.024277456647398842,0.011042944785276074,0.007782101167315175,0.1430646332607117,1.0,0.0736779560308972,0.08155339805825243,0.039309683604985615,0.009791921664626682,0.007011393514460999,0.01652089407191448,0.0012254901960784314,0.09807991696938247
burned_area,0.04991680532445923,0.024977698483496878,0.02756244616709733,0.011627906976744186,0.0055658627087198514,0.07301768397033656,0.0736779560308972,1.0,0.09888888888888889,0.09368095448519664,0.046524064171122995,0.0297029702970297,0.02968036529680365,0.007168458781362007,0.1370248709526044
fire_severity,0.017163504968383016,0.008964143426294821,0.006666666666666667,0.005050505050505051,0.0,0.10793650793650794,0.08155339805825243,0.09888888888888889,1.0,0.059329710144927536,0.027652370203160272,0.010719754977029096,0.10636363636363637,0.0040650406504065045,0.10376447876447877
emissions_carbon,0.016917293233082706,0.005996002664890073,0.01171875,0.004037685060565276,0.004867872044506259,0.057547169811320756,0.039309683604985615,0.09368095448519664,0.059329710144927536,1.0,0.23297872340425532,0.09921355111917725,0.017210682492581602,0.02626123013130615,0.041916167664670656
nonco2_biophysical,0.0091324200913242,0.004048582995951417,0.007782101167315175,0.003089598352214212,0.003246753246753247,0.023752969121140142,0.009791921664626682,0.046524064171122995,0.027652370203160272,0.23297872340425532,1.0,0.26239067055393583,0.01441899915182358,0.05683060109289618,0.028597367226509306
radiative_temperature,0.006666666666666667,0.0,0.009433962264150943,0.0,0.002352941176470588,0.013256006628003313,0.007011393514460999,0.0297029702970297,0.010719754977029096,0.09921355111917725,0.26239067055393583,1.0,0.001440922190201729,0.1477832512315271,0.011461318051575931
postfire_recovery,0.010080645161290322,0.002583979328165375,0.006993006993006993,0.0136986301369863,0.0,0.020966271649954422,0.01652089407191448,0.02968036529680365,0.10636363636363637,0.017210682492581602,0.01441899915182358,0.001440922190201729,1.0,0.0,0.009107468123861567
feedback_closure,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0011235955056179776,0.0012254901960784314,0.007168458781362007,0.0040650406504065045,0.02626123013130615,0.05683060109289618,0.1477832512315271,0.0,1.0,0.0035014005602240898
fire_weather,0.05013368983957219,0.02893436838390967,0.026657552973342446,0.016231474947071278,0.0028797696184305254,0.1027190332326284,0.09807991696938247,0.1370248709526044,0.10376447876447877,0.041916167664670656,0.028597367226509306,0.011461318051575931,0.009107468123861567,0.0035014005602240898,1.0
