concept,record_n,share
emissions_carbon,1418,0.14827982850569904
fire_weather,1366,0.1428422043291854
burned_area,1057,0.11053016835721008
fire_severity,921,0.09630868974171285
nonco2_biophysical,900,0.09411272613196696
fuel_legacy,824,0.08616542925860085
suppression_control,750,0.07842727177663913
radiative_temperature,399,0.041723308585172016
postfire_recovery,296,0.03095262992784691
source_explicit,205,0.02143678761894803
human_ignition,136,0.014221478615497229
natural_ignition,92,0.009620412004601066
climate_attribution,74,0.007738157481961727
feedback_closure,67,0.007006169612046429
counterfactual,27,0.0028233817839590086
